SUMLEV,STATE,Region,Division,STNAME,NPOPCHG_2002,BIRTHS2002,DEATHS2002,INTERNATIONALMIG2002,INTERNALMIG2002,RESIDUAL2002,NATURALINC2002,NETMIG2002,RBIRTH2002,RDEATH2002,RINTERNATIONALMIG2002,RINTERNALMIG2002,RNATURALINC2002,RNETMIG2002
010,00,0,00,United States,2876876,4006985,2429999,1299890,0,0,1576986,1299890,13.983723213,8.4802996329,4.5364037968,0,5.5034235804,4.5364037968
040,01,3,6,Alabama,12678,60246,46118,5312,-5983,-779,14128,-671,13.466404399,10.308462604,1.1873575037,-1.337341857,3.1579417944,-0.149984353
040,02,4,9,Alaska,8450,9959,3291,1146,842,-206,6668,1988,15.647143481,5.1706746858,1.8005448769,1.3229134262,10.476468795,3.1234583031
040,04,4,8,Arizona,142230,85545,42349,34513,66262,-1741,43196,100775,15.938941436,7.8905632225,6.4305416538,12.346088461,8.0483782134,18.776630115
040,05,3,7,Arkansas,15025,37586,28063,4522,1854,-874,9523,6376,13.92541607,10.397194465,1.6753773072,0.6868972861,3.5282216048,2.3622745933
040,06,4,9,California,461428,521005,231615,290743,-108395,-10310,289390,182348,14.98976879,6.6637657954,8.3649299858,-3.1186188,8.3260029944,5.2463111856
040,08,4,8,Colorado,71391,66997,28552,22968,10416,-438,38445,33384,15.012621811,6.3979040545,5.1466468312,2.3340070269,8.6147177562,7.4806538581
040,09,1,1,Connecticut,25919,42084,29613,15526,-980,-1098,12471,14546,12.214467166,8.59488205,4.5062688248,-0.284435363,3.6195851162,4.2218334616
040,10,3,5,Delaware,10350,10889,6935,2304,4362,-270,3954,6666,13.601185123,8.6623398685,2.8778703759,5.4484681336,4.9388452545,8.3263385095
040,11,3,5,District of Columbia,-4697,7908,5958,4229,-10688,-188,1950,-6459,13.947766426,10.508446177,7.4589155559,-18.85100247,3.4393202492,-11.39208692
040,12,3,5,Florida,327295,207487,166979,108139,182545,-3897,40508,290684,12.564147397,10.111229948,6.5482383735,11.053811982,2.4529174491,17.602050355
040,13,3,5,Georgia,166131,134874,65105,39488,37134,19740,69769,76622,15.870021005,7.6606144812,4.6463765399,4.3693918769,8.2094065239,9.0157684168
040,15,4,9,Hawaii,12546,18122,9063,6064,-2221,-356,9059,3843,14.755790927,7.3795239584,4.9375960812,-1.80844342,7.3762669689,3.1291526616
