SUMLEV,STATE,Region,Division,STNAME,POPESTIMATE2000,ESTIMATESBASE2000,NPOPCHG_2000,PPOPCHG_2000,NRANK_POPEST2000,NRANK_ESTBASE2000,NRANK_NPCHG2000,NRANK_PPCHG2000
010,00,0,00,United States,282193477,281424602,768875,0.2732081682,,,,
040,01,3,6,Alabama,4452339,4447351,4988,0.1121566524,23,23,31,40
040,02,4,9,Alaska,627500,626931,569,0.0907595892,48,48,46,43
040,04,4,8,Arizona,5165993,5130632,35361,0.6892133367,20,20,5,2
040,05,3,7,Arkansas,2678511,2673398,5113,0.1912547253,33,33,30,26
040,06,4,9,California,34002756,33871653,131103,0.3870581693,1,1,1,10
040,08,4,8,Colorado,4326926,4302015,24911,0.5790542339,24,24,8,3
040,09,1,1,Connecticut,3412263,3405602,6661,0.1955895022,29,29,27,24
040,10,3,5,Delaware,786441,783600,2841,0.3625574273,45,45,36,12
040,11,3,5,District of Columbia,571044,572059,-1015,-0.177429251,50,50,50,51
040,12,3,5,Florida,16048887,15982824,66063,0.4133374678,4,4,3,8
040,13,3,5,Georgia,8230155,8186816,43339,0.5293755228,10,10,4,4
040,15,4,9,Hawaii,1212125,1211537,588,0.0485333919,42,42,45,46
040,16,4,8,Idaho,1299680,1293956,5724,0.4423643462,39,39,28,7
040,17,2,3,Illinois,12439738,12419647,20091,0.1617678828,5,5,10,32
040,18,2,3,Indiana,6091955,6080517,11438,0.1881090045,14,14,20,27
040,19,2,4,Iowa,2928460,2926382,2078,0.0710091847,30,30,40,45
040,20,2,4,Kansas,2692671,2688824,3847,0.1430737006,32,32,34,35
040,21,3,6,Kentucky,4049005,4042285,6720,0.1662426078,25,25,26,31
040,22,3,7,Louisiana,4469495,4468958,537,0.0120162239,22,22,47,48
040,23,1,1,Maine,1277397,1274923,2474,0.1940509348,40,40,38,25
040,24,3,5,Maryland,5311543,5296506,15037,0.2839041436,19,19,15,17
040,25,1,1,Massachusetts,6362132,6349105,13027,0.2051785252,13,13,18,22
040,26,2,3,Michigan,9956111,9938480,17631,0.1774013732,8,8,13,29
040,27,2,4,Minnesota,4933756,4919492,14264,0.289948637,21,21,16,15
040,28,3,6,Mississippi,2848753,2844656,4097,0.1440244444,31,31,33,34
040,29,2,4,Missouri,5606265,5596683,9582,0.1712085534,17,17,25,30
040,30,4,8,Montana,903510,902195,1315,0.1457556293,44,44,42,33
040,31,2,4,Nebraska,1713261,1711265,1996,0.1166388607,38,38,41,38
040,32,4,8,Nevada,2018214,1998257,19957,0.9987203848,35,35,11,1
040,33,1,1,New Hampshire,1240554,1235786,4768,0.3858273196,41,41,32,11
040,34,1,2,New Jersey,8433704,8414347,19357,0.2300475604,9,9,12,21
040,35,4,8,New Mexico,1821526,1819046,2480,0.1363351999,36,36,37,36
040,36,1,2,New York,18998889,18976821,22068,0.1162892352,3,3,9,39
040,37,3,5,North Carolina,8078429,8046491,31938,0.3969183586,11,11,6,9
040,38,2,4,North Dakota,641153,642204,-1051,-0.163655163,47,47,51,50
040,39,2,3,Ohio,11363809,11353145,10664,0.0939299199,7,7,22,42
040,40,3,7,Oklahoma,3454321,3450652,3669,0.1063277317,27,27,35,41
040,41,4,9,Oregon,3431070,3421436,9634,0.2815776767,28,28,24,18
040,42,1,2,Pennsylvania,12286314,12281054,5260,0.0428302001,6,6,29,47
040,44,1,1,Rhode Island,1050742,1048319,2423,0.231131936,43,43,39,20
040,45,3,5,South Carolina,4023560,4011816,11744,0.29273526,26,26,19,14
040,46,2,4,South Dakota,755741,754840,901,0.1193630438,46,46,44,37
040,47,3,6,Tennessee,5703052,5689262,13790,0.2423864466,16,16,17,19
040,48,3,7,Texas,20949354,20851792,97562,0.4678830481,2,2,2,5
040,49,4,8,Utah,2243136,2233198,9938,0.445012041,34,34,23,6
040,50,1,1,Vermont,609937,608827,1110,0.1823178013,49,49,43,28
040,51,3,5,Virginia,7104078,7079030,25048,0.353833788,12,12,7,13
040,53,4,9,Washington,5911212,5894140,17072,0.2896436121,15,15,14,16
040,54,3,5,West Virginia,1807442,1808350,-908,-0.050211519,37,37,49,49
040,55,2,3,Wisconsin,5374429,5363715,10714,0.1997496138,18,18,21,23
040,56,4,8,Wyoming,494139,493782,357,0.0722991118,51,51,48,44
040,72,X,X,Puerto Rico,3815909,3808603,7306,0.1918288674,,,,
