SUMLEV,STATE,Region,Division,STNAME,POPESTIMATE2003,POPESTIMATE2002,NPOPCHG_2003,PPOPCHG_2003,NRANK_POPEST2003,NRANK_POPEST2002,NRANK_NPCHG2003,NRANK_PPCHG2003
010,00,0,00,United States,290850005,287984799,2865206,0.9949157073,,,,
040,01,3,6,Alabama,4501862,4480139,21723,0.4848733488,23,23,30,39
040,02,4,9,Alaska,648510,640699,7811,1.2191372236,47,47,41,14
040,04,4,8,Arizona,5577784,5438159,139625,2.5675049222,18,20,5,2
040,05,3,7,Arkansas,2726166,2706606,19560,0.7226762964,32,33,31,27
040,06,4,9,California,35456602,34988088,468514,1.3390671705,1,1,1,9
040,08,4,8,Colorado,4548071,4498407,49664,1.1040352729,22,22,15,17
040,09,1,1,Connecticut,3485881,3458382,27499,0.7951406178,29,29,26,24
040,10,3,5,Delaware,817827,805767,12060,1.4967105876,45,45,37,8
040,11,3,5,District of Columbia,557846,564624,-6778,-1.200444898,50,50,51,51
040,12,3,5,Florida,16993369,16677860,315509,1.8917834782,4,4,3,4
040,13,3,5,Georgia,8746849,8581731,165118,1.9240640379,9,9,4,3
040,15,4,9,Hawaii,1248200,1234401,13799,1.1178701249,42,42,35,16
040,16,4,8,Idaho,1368111,1343973,24138,1.7960182236,39,39,28,6
040,17,2,3,Illinois,12649940,12586839,63101,0.5013252334,5,5,13,38
040,18,2,3,Indiana,6196269,6154739,41530,0.6747646001,14,14,18,29
040,19,2,4,Iowa,2941362,2934340,7022,0.2393042388,30,30,44,47
040,20,2,4,Kansas,2724224,2712454,11770,0.4339244094,33,32,38,41
040,21,3,6,Kentucky,4116780,4088510,28270,0.6914499414,26,26,25,28
040,22,3,7,Louisiana,4490380,4475003,15377,0.3436198814,24,24,33,43
040,23,1,1,Maine,1308245,1296978,11267,0.8687117283,40,40,39,22
040,24,3,5,Maryland,5512477,5442268,70209,1.2900687728,19,18,9,12
040,25,1,1,Massachusetts,6417565,6411568,5997,0.0935340622,13,13,45,49
040,26,2,3,Michigan,10078146,10039379,38767,0.3861493823,8,8,21,42
040,27,2,4,Minnesota,5061662,5023526,38136,0.7591480566,21,21,22,25
040,28,3,6,Mississippi,2880793,2866349,14444,0.5039163061,31,31,34,37
040,29,2,4,Missouri,5718717,5681045,37672,0.663117437,17,17,23,31
040,30,4,8,Montana,917885,910395,7490,0.8227198084,44,44,42,23
040,31,2,4,Nebraska,1738013,1726753,11260,0.6520909476,38,38,40,32
040,32,4,8,Nevada,2241700,2167867,73833,3.4057901154,35,35,8,1
040,33,1,1,New Hampshire,1287594,1274666,12928,1.0142264719,41,41,36,20
040,34,1,2,New Jersey,8640028,8576089,63939,0.7455496322,10,10,11,26
040,35,4,8,New Mexico,1879252,1855400,23852,1.285544896,36,36,29,13
040,36,1,2,New York,19228031,19164755,63276,0.3301685829,3,3,12,44
040,37,3,5,North Carolina,8422375,8312755,109620,1.3186963889,11,11,6,11
040,38,2,4,North Dakota,633051,633571,-520,-0.082074464,48,48,50,50
040,39,2,3,Ohio,11431748,11404651,27097,0.2375960474,7,7,27,48
040,40,3,7,Oklahoma,3504917,3487076,17841,0.5116320952,28,28,32,36
040,41,4,9,Oregon,3562681,3522342,40339,1.1452323483,27,27,20,15
040,42,1,2,Pennsylvania,12364930,12324415,40515,0.3287377129,6,6,19,45
040,44,1,1,Rhode Island,1075729,1068550,7179,0.6718450236,43,43,43,30
040,45,3,5,South Carolina,4146753,4102568,44185,1.0770083518,25,25,16,18
040,46,2,4,South Dakota,764599,760368,4231,0.5564410917,46,46,47,35
040,47,3,6,Tennessee,5841585,5790312,51273,0.8854963256,16,16,14,21
040,48,3,7,Texas,22099136,21722394,376742,1.7343484332,2,2,2,7
040,49,4,8,Utah,2378696,2336673,42023,1.7984116733,34,34,17,5
040,50,1,1,Vermont,619092,616274,2818,0.457264139,49,49,49,40
040,51,3,5,Virginia,7383387,7286061,97326,1.3357834912,12,12,7,10
040,53,4,9,Washington,6131131,6066319,64812,1.0683908973,15,15,10,19
040,54,3,5,West Virginia,1810347,1804529,5818,0.3224110003,37,37,46,46
040,55,2,3,Wisconsin,5471792,5439137,32655,0.600370978,20,19,24,33
040,56,4,8,Wyoming,501915,499045,2870,0.575098438,51,51,48,34
040,72,X,X,Puerto Rico,3877881,3859606,18275,0.4734939266,,,,
