SUMLEV,Region,Division,STATE,STNAME,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,BIRTHS2000,BIRTHS2001,BIRTHS2002,BIRTHS2003,BIRTHS2004,BIRTHS2005,DEATHS2000,DEATHS2001,DEATHS2002,DEATHS2003,DEATHS2004,DEATHS2005,INTERNATIONALMIG2000,INTERNATIONALMIG2001,INTERNATIONALMIG2002,INTERNATIONALMIG2003,INTERNATIONALMIG2004,INTERNATIONALMIG2005,INTERNALMIG2000,INTERNALMIG2001,INTERNALMIG2002,INTERNALMIG2003,INTERNALMIG2004,INTERNALMIG2005,RESIDUAL2000,RESIDUAL2001,RESIDUAL2002,RESIDUAL2003,RESIDUAL2004,RESIDUAL2005
010,0,00,00,United States,281421906,281424602,282193477,285107923,287984799,290850005,293656842,296410404,989020,4047314,4006985,4052799,4105045,4128641,560891,2419276,2429999,2422701,2420471,2424605,340746,1286408,1299890,1235108,1122263,1049526,0,0,0,0,0,0,0,0,0,0,0,0
040,3,6,01,Alabama,4447100,4447351,4452339,4467461,4480139,4501862,4525375,4557808,15214,63067,60246,59321,60209,61487,10626,45608,46118,46171,46709,46894,1436,5188,5312,5027,4555,4418,-1084,-6429,-5983,4444,6579,12994,48,-1096,-779,-898,-1121,428
040,4,9,02,Alaska,626932,626931,627500,632249,640699,648510,657755,663661,2454,10018,9959,10071,10272,10358,756,3198,3291,3291,3116,2890,453,952,1146,1037,882,1330,-1563,-2753,842,224,1462,-2831,-19,-270,-206,-230,-255,-61
040,4,8,04,Arizona,5130632,5130632,5165993,5295929,5438159,5577784,5739879,5939292,19758,84911,85545,88962,91049,92514,9408,40648,42349,42331,43083,43188,8900,34293,34513,32855,29891,27626,16249,53237,66262,62129,86579,123704,-138,-1857,-1741,-1990,-2341,-1243
040,3,7,05,Arkansas,2673400,2673398,2678511,2691581,2706606,2726166,2750000,2779154,9103,37437,37586,37534,38153,38987,6466,28633,28063,27898,27583,27943,1095,4472,4522,4294,3912,3652,1459,906,1854,6562,10380,14503,-78,-1112,-874,-932,-1028,-45
040,4,9,06,California,33871648,33871653,34002756,34526660,34988088,35456602,35842038,36132147,127675,525203,521005,531387,539075,537194,53133,230566,231615,232338,237361,239414,75079,288984,290743,276570,251803,232700,-19226,-46576,-108395,-95361,-155485,-239417,708,-13141,-10310,-11744,-12596,-954
040,4,8,08,Colorado,4301261,4302015,4326926,4427016,4498407,4548071,4601821,4665177,16343,66236,66997,68182,68608,66725,6559,27792,28552,28668,28371,27828,6275,22631,22968,21792,19736,18815,8930,39430,10416,-11045,-5488,5497,-78,-415,-438,-597,-735,147
040,1,1,09,Connecticut,3405565,3405602,3412263,3432463,3458382,3485881,3498966,3510297,10771,42693,42084,42704,42426,41544,6947,30434,29613,29908,28962,28931,4174,15442,15526,14809,13516,12524,-1578,-5853,-980,1129,-12672,-14319,241,-1648,-1098,-1235,-1223,513
040,3,5,10,Delaware,783600,783600,786441,795417,805767,817827,830069,843524,2704,10961,10889,11415,11446,11284,1654,7113,6935,7047,7037,6935,629,2262,2304,2195,1971,1865,1126,3251,4362,5798,6178,7197,36,-385,-270,-301,-316,44
040,3,5,11,District of Columbia,572059,572059,571044,569321,564624,557846,554239,550521,1949,7887,7908,8011,8383,8364,1439,5927,5958,5737,5549,5499,1135,4184,4229,4002,3633,3435,-2599,-7624,-10688,-12875,-9851,-9913,-61,-243,-188,-179,-223,-105
040,3,5,12,Florida,15982378,15982824,16048887,16350565,16677860,16993369,17385430,17789864,48558,207399,207487,210534,217524,224063,38522,165107,166979,166792,166273,165834,28617,107407,108139,102949,93751,87222,28278,155631,182545,174625,254029,262511,-868,-3652,-3897,-5807,-6970,-3528
040,3,5,13,Georgia,8186453,8186816,8230155,8415600,8581731,8746849,8918129,9072576,32031,135553,134874,135979,138953,141374,15276,65084,65105,66127,65911,65156,10894,38712,39488,37390,33778,32582,16116,50768,37134,34227,47984,46437,-426,25496,19740,23649,16476,-790
040,4,9,15,Hawaii,1211537,1211537,1212125,1221855,1234401,1248200,1262124,1275194,4351,18020,18122,18335,18437,18763,2047,8530,9063,9135,9387,9755,2082,5577,6064,5647,4999,5699,-3772,-4889,-2221,-628,262,-1864,-26,-448,-356,-420,-387,227
040,4,8,16,Idaho,1293953,1293956,1299680,1321162,1343973,1368111,1395140,1429096,5188,20450,20473,20976,21848,22196,2330,9801,9877,9987,10145,10107,712,2950,2980,2855,2598,2427,2240,7486,8072,10245,13418,19812,-86,397,1163,49,-690,-372
040,2,3,17,Illinois,12419293,12419647,12439738,12518506,12586839,12649940,12712016,12763371,45735,185443,181440,181488,182878,182486,25099,106465,106215,106031,104650,104585,17047,67188,67463,64225,58500,53597,-17347,-68508,-74065,-75045,-76541,-79525,-245,1110,-290,-1536,1889,-618
040,2,3,18,Indiana,6080485,6080517,6091955,6125677,6154739,6196269,6226537,6271973,21290,87363,84676,84914,85992,87446,13013,55830,55810,55104,55721,56715,2842,11431,11465,10926,9930,9062,221,-7040,-9680,245,-5807,5061,98,-2202,-1589,549,-4126,582
040,2,4,19,Iowa,2926324,2926382,2928460,2931272,2934340,2941362,2952904,2966334,9271,37597,36996,37624,37770,37905,6245,27768,27916,27827,27214,26487,1393,6047,6117,5768,5266,4795,-2375,-12316,-11618,-8073,-3543,-3215,34,-748,-511,-470,-737,432
040,2,4,20,Kansas,2688418,2688824,2692671,2700879,2712454,2724224,2733697,2744687,9683,38900,38661,39221,39058,39140,5623,24870,24783,24314,24277,24658,2097,7663,7907,7451,6677,6427,-2262,-13548,-10263,-10575,-11117,-9998,-48,63,53,-13,-868,79
040,3,6,21,Kentucky,4041769,4042285,4049005,4066908,4088510,4116780,4141835,4173405,13387,54990,53667,54191,54798,56189,9215,40060,40389,39649,40154,40599,1624,5322,5630,5290,4684,4885,904,-591,3981,9877,7244,10754,20,-1758,-1287,-1439,-1517,341
040,3,7,22,Louisiana,4468976,4468958,4469495,4465258,4475003,4490380,4506685,4523628,16058,67662,66526,65836,66220,68516,9814,42270,41605,42141,42412,42687,1194,3901,4138,3868,3429,3644,-6937,-31826,-17931,-10657,-9347,-12849,36,-1704,-1383,-1529,-1585,319
040,1,1,23,Maine,1274923,1274923,1277397,1286350,1296978,1308245,1314985,1321505,3456,13548,13177,13604,13666,13825,2985,12409,12655,12793,12283,11738,251,994,1033,973,870,883,1720,7347,9491,9951,4974,3321,32,-527,-418,-468,-487,229
